Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Lesotho,Mali,Lesotho,31 runs,Kigali,"Nov 17, 2022",T20I # 1886
Rwanda,Botswana,Rwanda,5 wickets,Rwanda,"Nov 17, 2022",T20I # 1887
Oman,Canada,Canada,1 run,Al Amerat,"Nov 16, 2022",T20I # 1885
Bahrain,Saudi Arabia,Bahrain,53 runs,Al Amerat,"Nov 16, 2022",T20I # 1884
Oman,Bahrain,Bahrain,6 wickets,Al Amerat,"Nov 15, 2022",T20I # 1883
Canada,Saudi Arabia,Canada,66 runs,Al Amerat,"Nov 15, 2022",T20I # 1882
Bahrain,Canada,Canada,4 wickets,Al Amerat,"Nov 14, 2022",T20I # 1881
Oman,Saudi Arabia,Oman,9 wickets,Al Amerat,"Nov 14, 2022",T20I # 1880
England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022",T20I # 1879
England,India,England,10 wickets,Adelaide,"Nov 10, 2022",T20I # 1878
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022",T20I # 1877
Spain,Italy,Italy,33 runs,Almeria,"Nov 6, 2022",T20I # 1876
Tanzania,Rwanda,Tanzania,10 wickets,Dar-es-Salaam,"Nov 6, 2022",T20I # 1875
Spain,Germany,Spain,5 runs,Almeria,"Nov 6, 2022",T20I # 1874
India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",T20I # 1873
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022",T20I # 1872
Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022",T20I # 1871
Spain,Germany,Germany,36 runs,Almeria,"Nov 5, 2022",T20I # 1870
Tanzania,Rwanda,Tanzania,3 wickets,Dar-es-Salaam,"Nov 5, 2022",T20I # 1869
Spain,Italy,Spain,4 wickets,Almeria,"Nov 5, 2022",T20I # 1868
England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022",T20I # 1867
Germany,Italy,Germany,8 wickets,Almeria,"Nov 4, 2022",T20I # 1866
Germany,Italy,Germany,10 wickets,Almeria,"Nov 4, 2022",T20I # 1865
Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022",T20I # 1864
Tanzania,Rwanda,Tanzania,77 runs,Dar-es-Salaam,"Nov 4, 2022",T20I # 1863
Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022",T20I # 1862
Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022",T20I # 1861
Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",T20I # 1860
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022",T20I # 1859
England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022",T20I # 1858
Tanzania,Rwanda,Tanzania,21 runs,Dar-es-Salaam,"Nov 1, 2022",T20I # 1857
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022",T20I # 1856
Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022",T20I # 1855
Tanzania,Rwanda,Tanzania,54 runs,Dar-es-Salaam,"Oct 31, 2022",T20I # 1854
India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",T20I # 1853
Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022",T20I # 1852
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022",T20I # 1851
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022",T20I # 1850
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,"Oct 27, 2022",T20I # 1849
India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",T20I # 1848
Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022",T20I # 1847
England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",T20I # 1846
Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",T20I # 1845
South Africa,Zimbabwe,no result,-,Hobart,"Oct 24, 2022",T20I # 1844
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",T20I # 1843
India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",T20I # 1841
Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",T20I # 1840
Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",T20I # 1839
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",T20I # 1838
Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",T20I # 1837
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022",T20I # 1836
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022",T20I # 1835
West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022",T20I # 1834
Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022",T20I # 1833
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022",T20I # 1832
Indonesia,South Korea,Indonesia,3 wickets,Sano,"Oct 18, 2022",T20I # 1831
Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022",T20I # 1830
Japan,Indonesia,Indonesia,6 wickets,Sano,"Oct 18, 2022",T20I # 1829
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022",T20I # 1828
Japan,South Korea,Japan,8 wickets,Sano,"Oct 17, 2022",T20I # 1827
Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022",T20I # 1826
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",T20I # 1825
Japan,Indonesia,Japan,4 wickets,Sano,"Oct 16, 2022",T20I # 1824
Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",T20I # 1823
Japan,South Korea,Japan,48 runs,Sano,"Oct 15, 2022",T20I # 1822
Indonesia,South Korea,Indonesia,64 runs,Sano,"Oct 15, 2022",T20I # 1821
Australia,England,no result,-,Canberra,"Oct 14, 2022",T20I # 1820
New Zealand,Pakistan,Pakistan,5 wickets,Christchurch,"Oct 14, 2022",T20I # 1819
Bangladesh,Pakistan,Pakistan,7 wickets,Christchurch,"Oct 13, 2022",T20I # 1818
Australia,England,England,8 runs,Canberra,"Oct 12, 2022",T20I # 1817
New Zealand,Bangladesh,New Zealand,48 runs,Christchurch,"Oct 12, 2022",T20I # 1816
New Zealand,Pakistan,New Zealand,9 wickets,Christchurch,"Oct 11, 2022",T20I # 1815
Japan,Indonesia,Indonesia,3 wickets,Sano,"Oct 11, 2022",T20I # 1814
Japan,Indonesia,Japan,75 runs,Sano,"Oct 10, 2022",T20I # 1813
Australia,England,England,8 runs,Perth,"Oct 9, 2022",T20I # 1812
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,"Oct 9, 2022",T20I # 1811
Japan,Indonesia,Japan,65 runs,Sano,"Oct 9, 2022",T20I # 1810
New Zealand,Pakistan,Pakistan,6 wickets,Christchurch,"Oct 8, 2022",T20I # 1809
Australia,West Indies,Australia,31 runs,Brisbane,"Oct 7, 2022",T20I # 1808
Bangladesh,Pakistan,Pakistan,21 runs,Christchurch,"Oct 7, 2022",T20I # 1807
Australia,West Indies,Australia,3 wickets,Carrara,"Oct 5, 2022",T20I # 1806
India,South Africa,South Africa,49 runs,Indore,"Oct 4, 2022",T20I # 1805
Pakistan,England,England,67 runs,Lahore,"Oct 2, 2022",T20I # 1804
India,South Africa,India,16 runs,Guwahati,"Oct 2, 2022",T20I # 1803
Pakistan,England,England,8 wickets,Lahore,"Sep 30, 2022",T20I # 1802
Pakistan,England,Pakistan,6 runs,Lahore,"Sep 28, 2022",T20I # 1801
India,South Africa,India,8 wickets,Thiruvananthapuram,"Sep 28, 2022",T20I # 1800
U.A.E.,Bangladesh,Bangladesh,32 runs,Dubai (DICS),"Sep 27, 2022",T20I # 1799
Pakistan,England,Pakistan,3 runs,Karachi,"Sep 25, 2022",T20I # 1798
U.A.E.,Bangladesh,Bangladesh,7 runs,Dubai (DICS),"Sep 25, 2022",T20I # 1797
India,Australia,India,6 wickets,Hyderabad,"Sep 25, 2022",T20I # 1796
Pakistan,England,England,63 runs,Karachi,"Sep 23, 2022",T20I # 1795
India,Australia,India,6 wickets,Nagpur,"Sep 23, 2022",T20I # 1794
Pakistan,England,Pakistan,10 wickets,Karachi,"Sep 22, 2022",T20I # 1793
Tanzania,Uganda,Uganda,8 wickets,Benoni,"Sep 22, 2022",T20I # 1792
Botswana,Tanzania,Tanzania,4 wickets,Benoni,"Sep 21, 2022",T20I # 1791
Kenya,Uganda,Uganda,3 wickets,Benoni,"Sep 21, 2022",T20I # 1790
Pakistan,England,England,6 wickets,Karachi,"Sep 20, 2022",T20I # 1789
India,Australia,Australia,4 wickets,Mohali,"Sep 20, 2022",T20I # 1788
Ghana,Uganda,Uganda,8 wickets,Benoni,"Sep 20, 2022",T20I # 1787
Malawi,Tanzania,Tanzania,44 runs,Benoni,"Sep 20, 2022",T20I # 1786
Botswana,Mozambique,Botswana,92 runs,Benoni,"Sep 19, 2022",T20I # 1785
Cameroon,Kenya,Kenya,9 wickets,Benoni,"Sep 19, 2022",T20I # 1784
Mozambique,Uganda,Uganda,38 runs,Benoni,"Sep 18, 2022",T20I # 1783
Botswana,Ghana,Botswana,11 runs,Benoni,"Sep 18, 2022",T20I # 1782
Kenya,Tanzania,Tanzania,4 wickets,Benoni,"Sep 17, 2022",T20I # 1781
Cameroon,Tanzania,Tanzania,10 wickets,Benoni,"Sep 17, 2022",T20I # 1780
Kenya,Malawi,Kenya,52 runs,Benoni,"Sep 16, 2022",T20I # 1779
Ghana,Mozambique,Ghana,28 runs,Benoni,"Sep 16, 2022",T20I # 1778
Cameroon,Malawi,Malawi,7 wickets,Benoni,"Sep 15, 2022",T20I # 1777
Botswana,Uganda,Uganda,7 wickets,Benoni,"Sep 15, 2022",T20I # 1776
Vanuatu,Cook Islands,Vanuatu,50 runs,Port vila,"Sep 15, 2022",T20I # 1775
Fiji,Samoa,Fiji,30 runs,Port vila,"Sep 15, 2022",T20I # 1774
Cook Islands,Fiji,Cook Islands,8 wickets,Port vila,"Sep 14, 2022",T20I # 1773
Vanuatu,Samoa,Vanuatu,6 wickets,Port vila,"Sep 14, 2022",T20I # 1772
Vanuatu,Fiji,Vanuatu,18 runs,Port vila,"Sep 13, 2022",T20I # 1771
Cook Islands,Samoa,Cook Islands,4 wickets,Port vila,"Sep 13, 2022",T20I # 1770
Pakistan,Sri Lanka,Sri Lanka,23 runs,Dubai (DICS),"Sep 11, 2022",T20I # 1769
Fiji,Samoa,Fiji,3 wickets,Port vila,"Sep 11, 2022",T20I # 1768
Vanuatu,Cook Islands,Cook Islands,5 wickets,Port vila,"Sep 11, 2022",T20I # 1767
Vanuatu,Samoa,Vanuatu,9 wickets,Port vila,"Sep 10, 2022",T20I # 1766
Cook Islands,Fiji,Fiji,3 wickets,Port vila,"Sep 10, 2022",T20I # 1765
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dubai (DICS),"Sep 9, 2022",T20I # 1764
Cook Islands,Samoa,Samoa,7 wickets,Port vila,"Sep 9, 2022",T20I # 1763
Vanuatu,Fiji,Vanuatu,56 runs,Port vila,"Sep 9, 2022",T20I # 1762
Afghanistan,India,India,101 runs,Dubai (DICS),"Sep 8, 2022",T20I # 1761
Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,"Sep 7, 2022",T20I # 1760
India,Sri Lanka,Sri Lanka,6 wickets,Dubai (DICS),"Sep 6, 2022",T20I # 1759
India,Pakistan,Pakistan,5 wickets,Dubai (DICS),"Sep 4, 2022",T20I # 1758
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,"Sep 3, 2022",T20I # 1757
Hong Kong,Pakistan,Pakistan,155 runs,Sharjah,"Sep 2, 2022",T20I # 1756
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dubai (DICS),"Sep 1, 2022",T20I # 1755
Hong Kong,India,India,40 runs,Dubai (DICS),"Aug 31, 2022",T20I # 1754
Afghanistan,Bangladesh,Afghanistan,7 wickets,Sharjah,"Aug 30, 2022",T20I # 1753
Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),"Aug 30, 2022",T20I # 1752
Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),"Aug 29, 2022",T20I # 1751
India,Pakistan,India,5 wickets,Dubai (DICS),"Aug 28, 2022",T20I # 1750
Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),"Aug 28, 2022",T20I # 1749
Afghanistan,Sri Lanka,Afghanistan,8 wickets,Dubai (DICS),"Aug 27, 2022",T20I # 1748
Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),"Aug 26, 2022",T20I # 1747
Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),"Aug 25, 2022",T20I # 1746
Hong Kong,U.A.E.,Hong Kong,8 wickets,Al Amerat,"Aug 24, 2022",T20I # 1745
Kuwait,Singapore,Kuwait,6 wickets,Al Amerat,"Aug 24, 2022",T20I # 1744
Hong Kong,Kuwait,Hong Kong,8 wickets,Al Amerat,"Aug 23, 2022",T20I # 1743
Singapore,U.A.E.,U.A.E.,47 runs,Al Amerat,"Aug 22, 2022",T20I # 1742
Kuwait,U.A.E.,Kuwait,1 wicket,Al Amerat,"Aug 21, 2022",T20I # 1741
Hong Kong,Singapore,Hong Kong,8 runs,Al Amerat,"Aug 20, 2022",T20I # 1740
Bahrain,Kuwait,Kuwait,102 runs,Al Amerat,"Aug 17, 2022",T20I # 1739
Ireland,Afghanistan,Ireland,7 wickets,Belfast,"Aug 17, 2022",T20I # 1738
Bahrain,Kuwait,Kuwait,4 wickets,Al Amerat,"Aug 16, 2022",T20I # 1737
Ireland,Afghanistan,Afghanistan,27 runs,Belfast,"Aug 15, 2022",T20I # 1736
West Indies,New Zealand,West Indies,8 wickets,Kingston,"Aug 14, 2022",T20I # 1735
Bahrain,Kuwait,Kuwait,5 wickets,Al Amerat,"Aug 14, 2022",T20I # 1734
Bahrain,Kuwait,Kuwait,20 runs,Al Amerat,"Aug 13, 2022",T20I # 1733
West Indies,New Zealand,New Zealand,90 runs,Kingston,"Aug 12, 2022",T20I # 1732
Ireland,Afghanistan,Afghanistan,22 runs,Belfast,"Aug 12, 2022",T20I # 1731
Bahrain,Kuwait,tied,-,Al Amerat,"Aug 11, 2022",T20I # 1730
Ireland,Afghanistan,Ireland,5 wickets,Belfast,"Aug 11, 2022",T20I # 1729
West Indies,New Zealand,New Zealand,13 runs,Kingston,"Aug 10, 2022",T20I # 1728
Ireland,Afghanistan,Ireland,7 wickets,Belfast,"Aug 9, 2022",T20I # 1727
India,West Indies,India,88 runs,Lauderhill,"Aug 7, 2022",T20I # 1726
India,West Indies,India,59 runs,Lauderhill,"Aug 6, 2022",T20I # 1725
Ireland,South Africa,South Africa,44 runs,Bristol,"Aug 5, 2022",T20I # 1724
Netherlands,New Zealand,New Zealand,8 wickets,The Hague,"Aug 5, 2022",T20I # 1723
Netherlands,New Zealand,New Zealand,16 runs,The Hague,"Aug 4, 2022",T20I # 1722
Ireland,South Africa,South Africa,21 runs,Bristol,"Aug 3, 2022",T20I # 1721
West Indies,India,India,7 wickets,Basseterre,"Aug 2, 2022",T20I # 1720
Zimbabwe,Bangladesh,Zimbabwe,10 runs,Harare,"Aug 2, 2022",T20I # 1719
West Indies,India,West Indies,5 wickets,Basseterre,"Aug 1, 2022",T20I # 1718
England,South Africa,South Africa,90 runs,Southampton,"Jul 31, 2022",T20I # 1717
Austria,Norway,Austria,9 wickets,Kerava,"Jul 31, 2022",T20I # 1715
Luxembourg,Switzerland,Luxembourg,7 runs,Vantaa,"Jul 31, 2022",T20I # 1716
Eswatini,Mozambique,Mozambique,43 runs,Malkerns,"Jul 31, 2022",T20I # 1714
Zimbabwe,Bangladesh,Bangladesh,7 wickets,Harare,"Jul 31, 2022",T20I # 1713
Bulgaria,Czech Rep.,Czech Rep.,4 wickets,Vantaa,"Jul 31, 2022",T20I # 1711
France,Guernsey,Guernsey,56 runs,Kerava,"Jul 31, 2022",T20I # 1712
Eswatini,Mozambique,Mozambique,94 runs,Malkerns,"Jul 31, 2022",T20I # 1710
Luxembourg,Slovenia,Luxembourg,5 runs,Vantaa,"Jul 30, 2022",T20I # 1708
Estonia,France,France,25 runs,Kerava,"Jul 30, 2022",T20I # 1709
Eswatini,Mozambique,Mozambique,95 runs,Malkerns,"Jul 30, 2022",T20I # 1707
Zimbabwe,Bangladesh,Zimbabwe,17 runs,Harare,"Jul 30, 2022",T20I # 1706
Austria,Bulgaria,Austria,158 runs,Vantaa,"Jul 30, 2022",T20I # 1704
Czech Rep.,Switzerland,Czech Rep.,7 wickets,Kerava,"Jul 30, 2022",T20I # 1705
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,"Jul 30, 2022",T20I # 1703
West Indies,India,India,68 runs,Tarouba,"Jul 29, 2022",T20I # 1702
Scotland,New Zealand,New Zealand,102 runs,Edinburgh,"Jul 29, 2022",T20I # 1701
Eswatini,Mozambique,Mozambique,7 wickets,Malkerns,"Jul 29, 2022",T20I # 1700
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,"Jul 29, 2022",T20I # 1699
England,South Africa,South Africa,58 runs,Cardiff,"Jul 28, 2022",T20I # 1698
Czech Rep.,Estonia,Czech Rep.,42 runs,Vantaa,"Jul 28, 2022",T20I # 1696
Guernsey,Slovenia,Guernsey,9 wickets,Kerava,"Jul 28, 2022",T20I # 1697
Bulgaria,Luxembourg,Luxembourg,21 runs,Kerava,"Jul 28, 2022",T20I # 1694
Norway,Switzerland,Norway,12 runs,Vantaa,"Jul 28, 2022",T20I # 1695
England,South Africa,England,41 runs,Bristol,"Jul 27, 2022",T20I # 1693
Scotland,New Zealand,New Zealand,68 runs,Edinburgh,"Jul 27, 2022",T20I # 1692
Bulgaria,Slovenia,Bulgaria,3 wickets,Vantaa,"Jul 27, 2022",T20I # 1690
France,Norway,France,11 runs,Kerava,"Jul 27, 2022",T20I # 1691
Austria,Guernsey,Austria,2 wickets,Vantaa,"Jul 27, 2022",T20I # 1688
Estonia,Switzerland,Switzerland,31 runs,Kerava,"Jul 27, 2022",T20I # 1689
France,Switzerland,Switzerland,1 wicket,Vantaa,"Jul 25, 2022",T20I # 1686
Guernsey,Luxembourg,Guernsey,17 runs,Kerava,"Jul 25, 2022",T20I # 1687
Austria,Slovenia,Austria,141 runs,Kerava,"Jul 25, 2022",T20I # 1684
Czech Rep.,Norway,Norway,120 runs,Vantaa,"Jul 25, 2022",T20I # 1685
Bulgaria,Guernsey,Guernsey,52 runs,Vantaa,"Jul 24, 2022",T20I # 1682
Czech Rep.,France,France,51 runs,Kerava,"Jul 24, 2022",T20I # 1683
Austria,Luxembourg,Austria,36 runs,Vantaa,"Jul 24, 2022",T20I # 1680
Estonia,Norway,Norway,10 wickets,Kerava,"Jul 24, 2022",T20I # 1681
Ireland,New Zealand,New Zealand,6 wickets,Belfast,"Jul 22, 2022",T20I # 1679
Ireland,New Zealand,New Zealand,88 runs,Belfast,"Jul 20, 2022",T20I # 1678
Isle of Man,Italy,Italy,7 wickets,Kerava,"Jul 19, 2022",T20I # 1676
Romania,Sweden,Sweden,8 wickets,Vantaa,"Jul 19, 2022",T20I # 1677
Croatia,Serbia,Croatia,3 wickets,Vantaa,"Jul 19, 2022",T20I # 1674
Finland,Cyprus,Finland,11 runs,Kerava,"Jul 19, 2022",T20I # 1675
Ireland,New Zealand,New Zealand,31 runs,Belfast,"Jul 18, 2022",T20I # 1673
Finland,Croatia,Finland,5 wickets,Vantaa,"Jul 18, 2022",T20I # 1671
Isle of Man,Turkey,Isle of Man,74 runs,Kerava,"Jul 18, 2022",T20I # 1672
Cyprus,Serbia,Serbia,4 wickets,Kerava,"Jul 18, 2022",T20I # 1669
Greece,Sweden,Sweden,107 runs,Vantaa,"Jul 18, 2022",T20I # 1670
P.N.G.,U.S.A.,P.N.G.,5 runs,Bulawayo,"Jul 17, 2022",T20I # 1667
Zimbabwe,Netherlands,Zimbabwe,37 runs,Bulawayo,"Jul 17, 2022",T20I # 1668
Hong Kong,Uganda,Uganda,4 runs,Bulawayo,"Jul 17, 2022",T20I # 1665
Jersey,Singapore,Jersey,6 wickets,Bulawayo,"Jul 17, 2022",T20I # 1666
Croatia,Italy,Italy,166 runs,Kerava,"Jul 16, 2022",T20I # 1663
Cyprus,Turkey,Cyprus,135 runs,Vantaa,"Jul 16, 2022",T20I # 1664
Finland,Greece,Finland,37 runs,Kerava,"Jul 16, 2022",T20I # 1661
Romania,Serbia,Romania,31 runs,Vantaa,"Jul 16, 2022",T20I # 1662
Croatia,Greece,Croatia,3 runs,Vantaa,"Jul 15, 2022",T20I # 1659
Isle of Man,Romania,Isle of Man,8 wickets,Kerava,"Jul 15, 2022",T20I # 1660
Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,"Jul 15, 2022",T20I # 1657
Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,"Jul 15, 2022",T20I # 1658
Italy,Sweden,Italy,91 runs,Vantaa,"Jul 15, 2022",T20I # 1655
Serbia,Turkey,Serbia,7 wickets,Kerava,"Jul 15, 2022",T20I # 1656
Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,"Jul 15, 2022",T20I # 1653
Jersey,Uganda,Uganda,5 runs,Bulawayo,"Jul 15, 2022",T20I # 1654
Jersey,Singapore,Jersey,13 runs,Bulawayo,"Jul 14, 2022",T20I # 1651
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,"Jul 14, 2022",T20I # 1652
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,"Jul 14, 2022",T20I # 1649
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,"Jul 14, 2022",T20I # 1650
Finland,Italy,Italy,5 wickets,Kerava,"Jul 13, 2022",T20I # 1647
Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,"Jul 13, 2022",T20I # 1648
Croatia,Sweden,Sweden,8 wickets,Kerava,"Jul 13, 2022",T20I # 1645
Cyprus,Romania,Cyprus,20 runs,Vantaa,"Jul 13, 2022",T20I # 1646
Finland,Sweden,Finland,12 runs,Vantaa,"Jul 12, 2022",T20I # 1643
Romania,Turkey,Romania,51 runs,Kerava,"Jul 12, 2022",T20I # 1644
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,"Jul 12, 2022",T20I # 1641
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,"Jul 12, 2022",T20I # 1642
Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,"Jul 12, 2022",T20I # 1639
Greece,Italy,Italy,9 wickets,Vantaa,"Jul 12, 2022",T20I # 1640
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,"Jul 12, 2022",T20I # 1637
Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,"Jul 12, 2022",T20I # 1638
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,"Jul 11, 2022",T20I # 1635
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,"Jul 11, 2022",T20I # 1636
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,"Jul 11, 2022",T20I # 1633
Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,"Jul 11, 2022",T20I # 1634
Malaysia,Bhutan,Malaysia,9 wickets,Bangi,"Jul 11, 2022",T20I # 1632
England,India,England,17 runs,Nottingham,"Jul 10, 2022",T20I # 1631
Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,"Jul 10, 2022",T20I # 1630
Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,"Jul 10, 2022",T20I # 1629
England,India,India,49 runs,Birmingham,"Jul 9, 2022",T20I # 1628
Austria,Luxembourg,Austria,35 runs,Vinor,"Jul 9, 2022",T20I # 1626
Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,"Jul 9, 2022",T20I # 1627
Czech Rep.,Austria,Austria,4 wickets,Vinor,"Jul 9, 2022",T20I # 1624
Serbia,Bulgaria,Serbia,8 wickets,Belgrade,"Jul 9, 2022",T20I # 1625
Bhutan,Thailand,Bhutan,28 runs,Bangi,"Jul 9, 2022",T20I # 1623
Malaysia,Maldives,Malaysia,94 runs,Bangi,"Jul 9, 2022",T20I # 1622
Serbia,Bulgaria,Serbia,7 wickets,Belgrade,"Jul 8, 2022",T20I # 1621
Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,"Jul 8, 2022",T20I # 1620
Austria,Luxembourg,Austria,5 wickets,Vinor,"Jul 8, 2022",T20I # 1619
Maldives,Thailand,Maldives,41 runs,Bangi,"Jul 8, 2022",T20I # 1618
West Indies,Bangladesh,West Indies,5 wickets,Providence,"Jul 7, 2022",T20I # 1617
England,India,India,50 runs,Southampton,"Jul 7, 2022",T20I # 1616
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 7, 2022",T20I # 1615
Bhutan,Maldives,Bhutan,2 runs,Bangi,"Jul 7, 2022",T20I # 1614
Malaysia,Maldives,Malaysia,8 wickets,Bangi,"Jul 6, 2022",T20I # 1613
Bhutan,Thailand,Bhutan,6 wickets,Bangi,"Jul 6, 2022",T20I # 1612
Denmark,Portugal,Denmark,9 wickets,Waterloo,"Jul 4, 2022",T20I # 1611
Belgium,Spain,Belgium,5 wickets,Waterloo,"Jul 4, 2022",T20I # 1610
Bhutan,Maldives,Bhutan,6 runs,Bangi,"Jul 4, 2022",T20I # 1609
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 4, 2022",T20I # 1608
West Indies,Bangladesh,West Indies,35 runs,Roseau,"Jul 3, 2022",T20I # 1607
Gibraltar,Malta,Malta,7 wickets,Waterloo,"Jul 3, 2022",T20I # 1606
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,"Jul 3, 2022",T20I # 1605
Hungary,Israel,Israel,12 runs,Waterloo,"Jul 3, 2022",T20I # 1604
Malaysia,Bhutan,Malaysia,39 runs,Bangi,"Jul 3, 2022",T20I # 1603
Maldives,Thailand,Maldives,7 wickets,Bangi,"Jul 3, 2022",T20I # 1602
West Indies,Bangladesh,no result,-,Roseau,"Jul 2, 2022",T20I # 1601
Denmark,Spain,Denmark,41 runs,Waterloo,"Jul 2, 2022",T20I # 1600
Singapore,P.N.G.,Singapore,18 runs,Singapore,"Jul 2, 2022",T20I # 1599
Belgium,Portugal,Portugal,8 wickets,Waterloo,"Jul 2, 2022",T20I # 1598
Malaysia,Bhutan,Malaysia,155 runs,Bangi,"Jul 2, 2022",T20I # 1597
Belgium,Denmark,Belgium,12 runs,Waterloo,"Jul 1, 2022",T20I # 1595
Israel,Malta,Malta,16 runs,Gent,"Jul 1, 2022",T20I # 1596
Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,"Jul 1, 2022",T20I # 1593
Portugal,Spain,Spain,8 wickets,Gent,"Jul 1, 2022",T20I # 1594
Singapore,Malaysia,Malaysia,5 wickets,Singapore,"Jun 30, 2022",T20I # 1592
Belgium,Hungary,Belgium,2 wickets,Waterloo,"Jun 29, 2022",T20I # 1590
Israel,Spain,Spain,7 wickets,Gent,"Jun 29, 2022",T20I # 1591
Singapore,Malaysia,Malaysia,23 runs,Singapore,"Jun 29, 2022",T20I # 1589
Denmark,Gibraltar,Denmark,132 runs,Waterloo,"Jun 29, 2022",T20I # 1587
Malta,Portugal,Portugal,11 runs,Gent,"Jun 29, 2022",T20I # 1588
